GCoM_ID,signatory name,country code,Covenant Region,Year of adhesion,population adhesion year, signatory adhesion type , latitude , longitude ,area, NUTS3 , LAU1 , LAU2 , FUA_ID , CITY_ID/GREATER_CITY_ID , CITY or Greater City ,population in 2018, degree of urbanisation ,Heating Degree-Days (HDD),reference year HDD,"GDP per capita at NUTS3 [Euro per inhabitant]"," GHG emissions per capita in GCoM sectors_EDGAR [tCO2-eq/year] ",reference years in EDGAR,  Mitigation reduction target 2020 [%] ,  Mitigation reduction target 2030 [%] , reduction_type_id 
IT4419,Piantedo,it,Europe EU27,2013,1384.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.13 , 9.42 ,6.80, ITC44 ,, IT014048 ,, NaN , Other ,1384.00, 3.00 ,4747.34,2005,26883.33, 4.27 ,2013, NaN , NaN , NaN 
IT4677,Picinisco,it,Europe EU27,2016,1266.00,As a group of signatories committing collectively (joint SEAP - option 2), 41.69 , 13.47 ,62.15, ITI45 ,, IT060050 ,, NaN , Other ,1173.00, 3.00 ,1496.35,2015,21355.56, 4.17 ,2016, NaN , NaN , NaN 
IT4678,Piedimonte San Germano,it,Europe EU27,2016,6535.00,As a group of signatories committing collectively (joint SEAP - option 2), 41.69 , 13.47 ,17.32, ITI45 ,, IT060052 ,, NaN , Other ,6469.00, 2.00 ,1496.35,2015,21355.56, 4.17 ,2016, NaN , NaN , NaN 
IT4767,Pieve di Bono-Prezzo,it,Europe EU27,2017,1474.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.85 , 10.58 ,24.68, ITH20 ,, IT022234 ,, NaN , Other ,1442.00, 3.00 ,3368.81,2007,33155.56, 4.14 ,2017, NaN , NaN , NaN 
IT4249,Pieve di Cento,it,Europe EU27,2012,7068.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.68 , 11.36 ,15.94, ITH55 ,, IT037048 ,, NaN , Other ,7068.00, 2.00 ,1969.23,2008,36088.89, 4.53 ,2012, NaN , NaN , NaN 
IT4525,PIEVE DI SOLIGO,it,Europe EU27,2014,12159.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.91 , 12.18 ,19.02, ITH34 ,, IT026057 ,, NaN , Other ,12057.00, 2.00 ,1794.13,2007,29861.11, 4.04 ,2014, NaN , NaN , NaN 
IT4387,Pievelago,it,Europe EU27,2013,2335.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.28 , 10.73 ,76.54, ITH54 ,, IT036031 ,, NaN , Other ,2317.00, 3.00 ,2266.50,1998,33622.22, 4.27 ,2013, NaN , NaN , NaN 
IT4627,Pinzano al Tagliamento,it,Europe EU27,2016,1613.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.18 , 12.93 ,21.95, ITH41 ,, IT093030 ,, NaN , Other ,1514.00, 3.00 ,2434.76,2013,27927.78, 4.17 ,2016, NaN , NaN , NaN 
IT4578,Piobbico,it,Europe EU27,2015,2133.00,As a group of signatories committing collectively (joint SEAP - option 2), 43.58 , 12.51 ,48.20, ITI31 ,, IT041049 ,, NaN , Other ,1997.00, 3.00 ,1845.19,2009,24555.56, 4.25 ,2015, NaN , NaN , NaN 
IT4610,Piombino Dese,it,Europe EU27,2015,9624.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.62 , 12.02 ,29.63, ITH36 ,, IT028064 ,, NaN , Other ,9539.00, 2.00 ,2065.70,2010,30377.78, 4.25 ,2015, NaN , NaN , NaN 
IT4432,PIOZZANO,it,Europe EU27,2013,656.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.86 , 9.54 ,43.61, ITH51 ,, IT033034 ,, NaN , Other ,624.00, 3.00 ,2433.77,2010,29950.00, 4.27 ,2013, NaN , NaN , NaN 
IT4303,Pisciotta,it,Europe EU27,2013,2880.00,As a group of signatories committing collectively (joint SEAP - option 2), 40.16 , 15.31 ,31.24, ITF35 ,, IT065096 ,, NaN , Other ,2628.00, 3.00 ,1213.72,2011,16644.44, 4.27 ,2013, NaN , NaN , NaN 
FR0181,Pleslin-Trigavou,fr,Europe EU27,2011,3578.00,As a group of signatories committing collectively (joint SEAP - option 2), 48.53 ,-2.07 ,NaN, FRH01 ,, FR22190 ,, NaN , Other ,3578.00, 3.00 ,2232.12,2005,24500.00, 3.91 ,2011, NaN , NaN , NaN 
IT4642,Pocapaglia,it,Europe EU27,2016,3341.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.72 , 7.88 ,17.48, ITC16 ,, IT004170 ,, NaN , Other ,3319.00, 3.00 ,2307.41,2015,29100.00, 4.17 ,2016, NaN , NaN , NaN 
IT4361,Podenzano,it,Europe EU27,2013,9195.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.97 , 9.70 ,44.34, ITH51 ,, IT033035 ,, NaN , Other ,9144.00, 2.00 ,2208.51,2011,29950.00, 4.27 ,2013, NaN , NaN , NaN 
IT4355,Poggio Torriana,it,Europe EU27,2013,5200.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.06 , 12.45 ,34.74, ITH59 ,, IT099028 ,, NaN , Other ,5191.00, 2.00 ,2120.44,2010,27094.44, 4.27 ,2013, NaN , NaN , NaN 
IT4628,Polcenigo,it,Europe EU27,2016,3251.00,As a group of signatories committing collectively (joint SEAP - option 2), 46.04 , 12.47 ,49.69, ITH41 ,, IT093031 ,, NaN , Other ,3151.00, 3.00 ,2497.34,2008,27927.78, 4.17 ,2016, NaN , NaN , NaN 
IT4388,Polinago,it,Europe EU27,2013,1779.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.28 , 10.73 ,53.74, ITH54 ,, IT036032 ,, NaN , Other ,1649.00, 3.00 ,2266.50,1998,33622.22, 4.27 ,2013, NaN , NaN , NaN 
IT4679,Pontecorvo,it,Europe EU27,2016,13388.00,As a group of signatories committing collectively (joint SEAP - option 2), 41.69 , 13.47 ,88.80, ITI45 ,, IT060056 ,, NaN , Other ,13125.00, 2.00 ,1496.35,2015,21355.56, 4.17 ,2016, NaN , NaN , NaN 
PT0162,Portel,pt,Europe EU27,2015,2661.00,As a group of signatories committing collectively (joint SEAP - option 2), 38.30 ,-7.71 ,156.44, PT187 ,, PT070905 ,, NaN , Other ,2661.00, 3.00 ,832.15,2015,14133.33, 3.35 ,2015, NaN , NaN , NaN 
IT4643,Porto Viro,it,Europe EU27,2016,14761.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.01 , 12.28 ,133.77, ITH37 ,, IT029052 ,, NaN , Other ,14298.00, 2.00 ,1902.93,2006,24316.67, 4.17 ,2016, NaN , NaN , NaN 
IT4373,Portomaggiore,it,Europe EU27,2013,12445.00,As a group of signatories committing collectively (joint SEAP - option 2), 44.70 , 11.84 ,126.64, ITH56 ,, IT038019 ,, NaN , Other ,11630.00, 2.00 ,1836.57,2008,24994.44, 4.27 ,2013, NaN , NaN , NaN 
IT4444,Possagno,it,Europe EU27,2013,2255.00,As a group of signatories committing collectively (joint SEAP - option 2), 45.87 , 11.86 ,12.11, ITH34 ,, IT026061 ,, NaN , Other ,2181.00, 3.00 ,1887.49,2009,29861.11, 4.27 ,2013, NaN , NaN , NaN 
